Servico,Razao
Conservação,0.098669716798113552
Iluminação Pública,0.13302244852903183
Limpeza Urbana,0.35760873139271071
Meio Ambiente,0.063573632960208931
Obras e Imóveis,0.0622994828242213
Saúde e Vigilância Sanitária,0.039943726014270479
Transporte,0.039745263919356282
Trânsito,0.1599815864754541
