Servico,Razao
Conservação,0.14947978494776523
Iluminação Pública,0.1147233536396098
Limpeza Urbana,0.28395140710411648
Meio Ambiente,0.064884121534367845
Obras e Imóveis,0.093207467591704049
Saúde e Vigilância Sanitária,0.020165293564308344
Transporte,0.10033598949855108
Trânsito,0.19057926200783343
