Servico,Razao
Conservação,0.056583670798776284
Iluminação Pública,0.086075792675378876
Limpeza Urbana,0.41383357795893827
Meio Ambiente,0.049120010963942778
Obras e Imóveis,0.052434614228368315
Saúde e Vigilância Sanitária,0.051309483810500628
Transporte,0.012727899697607384
Trânsito,0.22298471237333994
