Evento,id_chamado,tipo,subtipo,id_bairro,situacao,tipo_situacao,status
Carnaval,18333409,Poluição sonora,Perturbação do sossego,65,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333245,Poluição sonora,Perturbação do sossego,31,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334660,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334721,Poluição sonora,Perturbação do sossego,15,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334487,Poluição sonora,Perturbação do sossego,31,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333739,Poluição sonora,Perturbação do sossego,14,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334074,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333561,Poluição sonora,Perturbação do sossego,54,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334443,Poluição sonora,Perturbação do sossego,5,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334204,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333284,Poluição sonora,Perturbação do sossego,8,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333225,Poluição sonora,Perturbação do sossego,137,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334270,Poluição sonora,Perturbação do sossego,26,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334681,Poluição sonora,Perturbação do sossego,16,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333449,Poluição sonora,Perturbação do sossego,54,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334272,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333228,Poluição sonora,Perturbação do sossego,20,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333565,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18334727,Poluição sonora,Perturbação do sossego,33,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333177,Poluição sonora,Perturbação do sossego,38,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331360,Poluição sonora,Perturbação do sossego,26,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333215,Poluição sonora,Perturbação do sossego,15,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332453,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332938,Poluição sonora,Perturbação do sossego,25,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332630,Poluição sonora,Perturbação do sossego,126,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333175,Poluição sonora,Perturbação do sossego,114,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332726,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333154,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331317,Poluição sonora,Perturbação do sossego,127,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333207,Poluição sonora,Perturbação do sossego,54,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332827,Poluição sonora,Perturbação do sossego,35,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331532,Poluição sonora,Perturbação do sossego,114,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332881,Poluição sonora,Perturbação do sossego,115,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331319,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333193,Poluição sonora,Perturbação do sossego,16,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331320,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332454,Poluição sonora,Perturbação do sossego,128,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332866,Poluição sonora,Perturbação do sossego,26,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333135,Poluição sonora,Perturbação do sossego,121,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333199,Poluição sonora,Perturbação do sossego,132,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333097,Poluição sonora,Perturbação do sossego,32,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18331953,Poluição sonora,Perturbação do sossego,26,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333126,Poluição sonora,Perturbação do sossego,130,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333152,Poluição sonora,Perturbação do sossego,26,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18332075,Poluição sonora,Perturbação do sossego,36,Encerrado,Não atendido,Sem possibilidade de atendimento
Carnaval,18333181,Poluição sonora,Perturbação do sossego,26,Encerrado,Não atendido,Sem possibilidade de atendimento
