data_particao,MediaDiaria
2011-03-01,277.03333333333336
2011-04-01,818.13333333333333
2011-05-01,940.5333333333333
2011-06-01,838.13333333333333
2011-07-01,811.93333333333328
2011-08-01,932.2
2011-09-01,822.56666666666672
2011-10-01,814.0333333333333
2011-11-01,914.63333333333333
2011-12-01,948.8
2015-01-01,1170.2666666666667
2015-02-01,1016.3
2015-03-01,1208.5
2015-04-01,1069.3333333333333
2015-05-01,1017.9
2015-06-01,986.73333333333335
2015-07-01,1032.1
2015-08-01,985.9666666666667
2015-09-01,932.2
2015-10-01,950.5
2015-11-01,956.9666666666667
2015-12-01,1154.2333333333333
2019-01-01,989.6
2019-02-01,969.86666666666667
2019-03-01,1103.7666666666667
2019-04-01,1034.7333333333333
2019-05-01,972.9666666666667
2019-06-01,687.66666666666663
2019-07-01,738.76666666666665
2019-08-01,703.0333333333333
2019-09-01,703.23333333333335
2019-10-01,764.26666666666665
2019-11-01,737.4666666666667
2019-12-01,745.33333333333337
2023-01-01,784.3
2023-02-01,752.93333333333328
2023-03-01,818.1
2023-04-01,648.5
2023-05-01,668.93333333333328
2023-06-01,563.8
2023-07-01,580.56666666666672
2023-08-01,554.5333333333333
2023-09-01,526.5333333333333
2023-10-01,648.36666666666667
2023-11-01,705.13333333333333
2023-12-01,737.5
