Servico,Razao
Conservação,0.073817691399407942
Iluminação Pública,0.15517514750294259
Limpeza Urbana,0.4542885442956513
Meio Ambiente,0.064979639650730933
Obras e Imóveis,0.0399988061728326
Saúde e Vigilância Sanitária,0.039713406865625425
Transporte,0.030509745546931397
Trânsito,0.12551413845783646
